Data da Venda,Produto,Categoria,PrecoUnitario,Custo Unitário,Marca,Qtd. Vendida,Nome Cliente,Localidade
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Sanchez Donald,Reino Unido - Europa
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,4,Johnson Thomas,Reino Unido - Europa
01/06/2017,Simulador de Vôo de Combate 3 E119,Games,28,14.28,Hashtag Toys,1,Becker Jon,Alemanha - Europa
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,3,Raji Melvin,Singapura - Ásia
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,5,Sara Harold,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,1,Anand Wayne,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,1,Garcia David,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,4,Luo Willie,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,4,Wu Crystal,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,1,Carlson Tyrone,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,1,Lopez Monica,Brasil - América do Sul
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,1,Rodriguez Devin,Estados Unidos - América do Norte
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,5,Sara Frederick,Brasil - América do Sul
01/06/2017,Age of Mythology 2009 E158,Games,32,16.31,Hashtag Toys,1,Suri Kristina,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,3,Collins Seth,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Sharma Tonya,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Perry Gabriel,África do Sul - África
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,2,Subram Harold,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,4,Kumar Julie,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Chapman Katrina,Brasil - América do Sul
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Raman Cory,França - Europa
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,3,Pal Tonya,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Wu Louis,Portugal - Europa
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,3,Romero Theodore,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Washington Aidan,Chile - América do Sul
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Moore Dylan,Alemanha - Europa
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,5,Foster Mya,França - Europa
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,3,Guo Candice,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Alonso Anne,Reino Unido - Europa
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Thompson William,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,1,Gao Tamara,Estados Unidos - América do Norte
01/06/2017,Fable: The Lost Chapters E107,Games,56,28.55,Hashtag Toys,5,Ruth Andy,Japão - Ásia
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,2,Arun Meredith,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Moreno Francis,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,2,Rubio Roy,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Hu Trisha,Chile - América do Sul
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Ma Suzanne,Reino Unido - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,4,Madan Andre,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Hill Katelyn,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,4,Nara Drew,Rússia - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,4,He Jaclyn,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,5,Chander Kelli,Alemanha - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,2,Sanz Jessie,Reino Unido - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Rana Dominic,Brasil - América do Sul
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Zheng Glenn,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Serrano Kari,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Luo Rafael,Alemanha - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,5,Sun Rosa,Brasil - América do Sul
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Xie Katrina,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,2,Fernandez Bruce,Eslovênia - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Roberts Madeline,França - Europa
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Lopez Holly,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Zhang Jorge,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Anand Willie,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Alonso Felicia,Canadá - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,2,Yang Eric,Estados Unidos - América do Norte
01/06/2017,Hand Games for kids E300 Prata,Jogos de Tabuleiro,5.5,2.8,Hashtag Toys,1,Shan Cassie,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Schmidt Marc,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Kumar Nina,Reino Unido - Europa
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,5,Vazquez Teresa,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,4,Rubio Melinda,Alemanha - Europa
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Chande Damien,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Wright Aaron,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Goel Omar,Alemanha - Europa
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Brooks Sebastian,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Martinez Barry,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,3,Lal Maurice,Chile - América do Sul
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Rai Priscilla,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Rai Kristin,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Ferrier Marc,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Huang Alvin,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Huang Todd,Alemanha - Europa
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Suri Ruth,Grécia - Europa
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Lu Jon,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Raji Shawn,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,4,Gutierrez Ross,Estados Unidos - América do Norte
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Young Henry,Reino Unido - Europa
01/06/2017,Hand Games women M40 Preto,Jogos de Tabuleiro,8.88,4.08,Southridge Video,1,Raji Tara,Estados Unidos - América do Norte
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
